system   D            wsystem.c:583  maybe_parent_dir                 [   0.00333] Also searching C:\Users\Marcin\Desktop\Reversi\
system   D            wsystem.c:630  _al_win_safe_load_library        [   0.00392] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00396] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.00897] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:879  _al_d3d_init_display             [   0.05656] Render-to-texture: 1
system   I             system.c:270  al_install_system                [   0.07795] Allegro version: 5.0.5
d3d      I         d3d_disp.cpp:1919 d3d_create_display_locked        [   0.07977] faux_fullscreen=0
display  D   display_settings.c:486  _al_score_display_settings       [   0.10482] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.10487] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.10489] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.10491] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.10492] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.10494] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.10496] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.10497] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.10499] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.10501] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.10502] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.10504] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.10506] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.10507] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.10509] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.10510] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.10512] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.10513] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.10515] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.10517] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.10518] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.10520] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.10521] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.10523] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.10525] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.10526] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.10528] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.10529] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.10531] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.10533] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.10534] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.10536] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.10537] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.10539] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.10540] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.10542] Score is : 713
display  D   display_settings.c:357  _al_score_display_settings       [   0.10544] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10545] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10547] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10548] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10550] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10552] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10554] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10556] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10558] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10560] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10561] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10563] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10565] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10566] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10568] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10570] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10571] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10573] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10575] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10577] Single Buffer requirement not met.
